Grantee Name,Discipline,Location
Adrienne Westwood Projects,Interdisciplinary,Park Slope
Aeilushi Mistry,Cultural Heritage,Brooklyn Heights
Al Límite Collective,Performing Arts,Bushwick
Alex Colon-Olaniyan,Music,Crown Heights
Alicia Foxworth,Theater,Bedford-Stuyvesant
Alisha Desai,Dance,Bushwick
Alma Moyo,Performing Arts,Crown Heights
Angeli Rasbury,Literary Arts,Bedford-Stuyvesant
Anh Vo,Dance,Downtown Brooklyn
APAC,Performing Arts,Brownsville
Arantxa Araujo in collaboration with Sara Kostic,Multidisciplinary,Red Hook
Arno Mokros,Film/Video,Greenpoint
Art and Resistance Through Education (ARTE),Visual Arts,Downtown Brooklyn
ART YARD BKLYN,Visual Arts,Red Hook
Arts Gowanus,Multidisciplinary,Gowanus
Artshack Brooklyn,Visual Arts,Bedford-Stuyvesant
ASMP NY & BKC,Visual Arts,Bushwick
Beareather Reddy,Cultural Heritage,Bedford-Stuyvesant
Belinda McGuire,Dance,Crown Heights
Benjamin Akio Kimitch,Dance,Williamsburg
Black Revolutionary Theatre Workshop,Theater,Clinton Hill
Brackish - music & art,Music,Gowanus
Brighton Ballet Theater Co,Dance,Brighton Beach
Broken Box Mime Theater,Interdisciplinary,Prospect Lefferts Gardens
Brooklyn Accordion Club,Music,Prospect Heights
Brooklyn FAM,Multidisciplinary,Prospect Lefferts Gardens
Brooklyn Raga Massive,Performing Arts,Red Hook
Brooklyn Youth Company,Multidisciplinary,Flatbush
Brydie O'Connor,Film/Video,Prospect Lefferts Gardens
Bundith Phunsombatlert,Interdisciplinary,Prospect Heights
Carolyn Butts-Schmalenberger,Film/Video,Downtown Brooklyn
Carrie Ahern Dance,Dance,Kensington
Carter Van Pelt,Music,Coney Island
ChamberQUEER,Music,Gowanus
Charlotte Juergens,Film/Video,Park Slope
Charukantha,Cultural Heritage,Kensington
Cheryl Thomas,Cultural Heritage,Bedford-Stuyvesant
Chief Baba Neil Clarke,Performing Arts,Brownsville
Circus Amok,Performing Arts,Williamsburg
City of Abolished Prisons,Interdisciplinary,Crown Heights
Connection Works,Music,Gowanus
Continuum Culture & Arts,Music,
Curatorial Program for Research,Visual Arts,Williamsburg
Dancers Unlimited,Multidisciplinary,Downtown Brooklyn
Dancing Crane Georgian Cultural Center,Performing Arts,Gravesend
Darkness RISING Project,Music,Bedford-Stuyvesant
Darryl Harrison | Urban Jali,Performing Arts,Crown Heights
Data Through Design,Multidisciplinary,Greenpoint
Death by Audio Arcade,Multidisciplinary,Bedford-Stuyvesant
Dianę Jacobowitz,Multidisciplinary,Park Slope
Dina Vovsi,Theater,Greenpoint
Dishman + Co. Choreography,Dance,Greenpoint
eGALitarian Brass,Music,Cobble Hill
Ensemble Decipher,Music,Downtown Brooklyn
exquisites,Literary Arts,Bedford-Stuyvesant
Fei Li (Accented Projects),Multidisciplinary,Bedford-Stuyvesant
Flex Dance Program,Dance,Crown Heights
Fulton Art Fair,Visual Arts,Bedford-Stuyvesant
Glenda Sol Koeraus | Flamenco y Sol,Dance,Sunset Park
"Goof, Gather, and Grow",Multidisciplinary,Greenpoint
Grace Chorale of Brooklyn,Music,Fort Greene
Grandparentes StoryLab,Interdisciplinary,Williamsburg
Grumpy Bert,Visual Arts,Greenpoint
Gung Ho Projects,Theater,Sunset Park
HaRaKa Platform | New York Arab Festival,Performing Arts,Clinton Hill
Hedgepig Ensemble Theatre,Theater,Fort Greene
Hima B.,Film/Video,Crown Heights
Irene Koloseus | Sound Bridges,Music,Midwood
Itziar Barrio,Visual Arts,DUMBO
Iviva Olenick,Visual Arts,Park Slope
Iviva Olenick | ART YARD BKLYN,Visual Arts,Red Hook
J. Bouey Dance Projects,Dance,Brownsville
Jamie Courville & Chris Reynolds,Film/Video,Gowanus
Jan Bell,Music,DUMBO
Jan Mun,Interdisciplinary,Greenpoint
Jasmine Espinal,Performing Arts,Sunset Park
Jazz Passengers Music Projects,Music,Ditmas Park
Jennifer Wade,Visual Arts,Coney Island
Jesse Barnes,Music,Crown Heights
Jihene E. Serkhane,Performing Arts,Bay Ridge
JP Howard,Literary Arts,Downtown Brooklyn
Kiire Wellness,Performing Arts,Bedford-Stuyvesant
Kraft Kulcha at Make Manifest Bk,Multidisciplinary,Bedford-Stuyvesant
Kyoung's Pacific Beat,Theater,Flatbush
L Train Brass Band,Music,Sunset Park
La Kaje,Interdisciplinary,Gowanus
La Nuestra Tango,Interdisciplinary,Fort Greene
La Troupe Makandal,Cultural Heritage,Flatbush
Lampblack,Literary Arts,Fort Greene
Laura Elkeslassy,Interdisciplinary,Bushwick
Laura Peterson,Interdisciplinary,DUMBO
Lindsey Hope Pearlman | Bread Arts Collective,Theater,Williamsburg
Lourdes Bernard,Visual Arts,Crown Heights
Luna Park Band,Multidisciplinary,Coney Island
Maaa Film,Film/Video,Crown Heights
Marina Zurita,Theater,Clinton Hill
McKoy Dance Project || MDP,Dance,Crown Heights
Megumi Saruhashi,Music,Bay Ridge
Melinda Gonzalez,Dance,East New York
Melvin Isaac,Visual Arts,Brownsville
Mil's Trills,Music,Prospect Lefferts Gardens
Ming Liang Lu,Visual Arts,Bensonhurst
Mookntaka,Visual Arts,Carroll Gardens
N.S.P. Youth,Multidisciplinary,Bedford-Stuyvesant
Nancy Siesel,Film/Video,Borough Park
National Queer Theater,Performing Arts,Fort Greene
Nekaa Lab | Sachiyo Takahashi,Theater,Crown Heights
Noa Fort,Music,Midwood
NYC Radio Live,Music,Red Hook
NYC Ska Orchestra,Music,Prospect Heights
Nzingah Oyo,Visual Arts,Bedford-Stuyvesant
Octavia Project,Multidisciplinary,Clinton Hill
Ogemdi Ude,Interdisciplinary,DUMBO
Olaronke Akinmowo,Literary Arts,Bedford-Stuyvesant
One Breath Rising,Interdisciplinary,Prospect Heights
One Whale's Tale,Interdisciplinary,Bushwick
Operation Gig,Music,Ditmas Park
Parachute Literary Arts,Literary Arts,Coney Island
Perennial Muse,Music,Fort Greene
Persephone DaCosta,Performing Arts,Brownsville
Phil Andrews,Music,Bedford-Stuyvesant
PLG Arts,Interdisciplinary,Prospect Lefferts Gardens
Project.KB | Kristina Bermudez,Dance,Brownsville
QT Art Camp,Performing Arts,Bedford-Stuyvesant
Rachel Lin,Theater,Sunset Park
Rachel Sullivan,Theater,Prospect Heights
Raphael McGregor,Music,Red Hook
Ray Jordan Achan,Theater,Brownsville
Razid Season,Film/Video,Crown Heights
Remix ⟷ Culture,Music,Bay Ridge
Renee Smith,Cultural Heritage,East New York
Renegade Performance Group,Dance,Flatbush
Ricardo St. Louis,Music,Bedford-Stuyvesant
Riven Collective,Performing Arts,Clinton Hill
Rohan Bhargava | Rovaco Dance Company,Dance,Williamsburg
Rooted Theater Company,Performing Arts,East New York
Rusty Zimmerman,Visual Arts,Sunset Park
Sabina Sethi Unni & Nikolas Michael,Theater,Gowanus
Sabrina Chap,Music,Coney Island
Salute to Youth Project of the Brooklyn Chapter of the Links,Film/Video,Bedford-Stuyvesant
Sarah Finn,Film/Video,Williamsburg
Saving Our Babies,Interdisciplinary,Bushwick
Sisters With Purpose,Music,East New York
Something Positive Inc.,Performing Arts,Flatbush
Sophia Ma & Cecile Chong,Visual Arts,Bushwick
Spiritchild of Urban Art Beat | Maroon Party for Liberation,Interdisciplinary,Williamsburg
Stand4 Gallery,Interdisciplinary,Bay Ridge
Steph Costello,Visual Arts,Fort Greene
Steps Theatre & Production Company,Theater,Sheepshead Bay
Stoop Stories,Film/Video,Crown Heights
STooPS,Interdisciplinary,Bedford-Stuyvesant
Summertime Gallery | Priscilla Frank,Performing Arts,Williamsburg
Sunset Park Artists Collective,Visual Arts,Sunset Park
Swamp in the City,Music,Red Hook
Tables of Contents,Literary Arts,Sunset Park
TalentLand Children's Acting Studio,Theater,Sheepshead Bay
Tami Kashia Gold,Film/Video,Flatbush
Tansy Xiao,Interdisciplinary,Sunset Park
Tea Arts & Culture,Multidisciplinary,Park Slope
The Exponential Festival,Theater,Williamsburg
The Immigrant Artist Biennial,Visual Arts,Sunset Park
The Neurodivergent New Play Series,Theater,Williamsburg
The New Consort,Music,Prospect Heights
The Opera Next Door,Theater,Bedford-Stuyvesant
The Parsnip Ship,Theater,Boerum Hill
Tomato Mouse,Visual Arts,Weeksville
TWW Inc,Performing Arts,Bedford-Stuyvesant
Ty Citerman,Music,Flatbush
Unheard-of Ensemble,Multidisciplinary,Gowanus
United Community Centers,Multidisciplinary,East New York
Urbano Street,Music,Bushwick
Viktoriya Basina,Visual Arts,Flatbush
Vong Pak,Dance,Park Slope
Walis Johnson,Interdisciplinary,Brownsville
What Will the Neighbors Say?,Theater,Bushwick
Womanly Magazine,Multidisciplinary,Crown Heights
Worry Noise Dirt Heat,Theater,Crown Heights
Xinan Helen Ran,Interdisciplinary,Sunset Park
Yaa Samar! Dance Theatre,Performing Arts,Bay Ridge
Yasmin Mistry,Film/Video,Gowanus
Zachary Finkelstein,Film/Video,Marine Park
Zachary Schulman,Visual Arts,Crown Heights
¡Oye! Group,Multidisciplinary,Bushwick
